,respcolor,stimcolor,trialnum,subject,stimword,reaction_time
1331,R,R,22.0,156863.0,Y,2024.0
1332,Y,Y,23.0,156863.0,R,2064.0
1333,B,B,24.0,156863.0,G,2040.0
1334,Y,Y,25.0,156863.0,R,2184.0
1335,R,R,26.0,156863.0,G,2504.0
1336,B,B,27.0,156863.0,Y,1264.0
1337,Y,Y,28.0,156863.0,G,1632.0
1338,G,G,29.0,156863.0,Y,1904.0
1339,B,B,30.0,156863.0,G,1344.0
1340,G,G,31.0,156863.0,R,2616.0
1341,R,R,32.0,156863.0,B,2096.0
1342,Y,Y,33.0,156863.0,G,2384.0
1343,G,G,34.0,156863.0,R,1608.0
1344,R,R,35.0,156863.0,B,1720.0
1345,Y,Y,36.0,156863.0,R,2464.0
1346,B,B,37.0,156863.0,G,1712.0
1347,R,R,38.0,156863.0,Y,1872.0
1348,Y,Y,39.0,156863.0,B,2064.0
1349,B,B,40.0,156863.0,R,1927.0
1350,R,R,41.0,156863.0,G,2304.0
1351,G,G,42.0,156863.0,Y,1616.0
1352,R,R,43.0,156863.0,B,1936.0
1353,B,B,44.0,156863.0,R,1848.0
1354,G,G,45.0,156863.0,B,1888.0
1355,R,R,46.0,156863.0,R,1908.0
1356,G,G,47.0,156863.0,G,1320.0
1357,Y,Y,48.0,156863.0,Y,1335.0
1358,G,G,49.0,156863.0,G,1231.0
1359,Y,Y,50.0,156863.0,Y,1271.0
1360,G,G,51.0,156863.0,G,1127.0
1361,R,R,52.0,156863.0,R,1807.0
1362,Y,Y,53.0,156863.0,Y,1623.0
1363,G,G,54.0,156863.0,G,1367.0
1364,G,R,55.0,156863.0,R,1896.0
1365,G,G,56.0,156863.0,G,1624.0
1366,Y,Y,57.0,156863.0,Y,2976.0
1367,R,R,58.0,156863.0,R,2256.0
1368,B,B,59.0,156863.0,B,1831.0
1369,Y,Y,60.0,156863.0,Y,2184.0
1370,R,R,61.0,156863.0,R,1288.0
1371,Y,Y,62.0,156863.0,Y,1503.0
1372,R,R,63.0,156863.0,R,1295.0
1373,G,G,64.0,156863.0,G,1312.0
1374,R,R,65.0,156863.0,R,1120.0
1375,Y,Y,66.0,156863.0,Y,1367.0
1376,G,G,67.0,156863.0,G,2207.0
1377,R,R,68.0,156863.0,R,1088.0
1378,B,B,69.0,156863.0,B,1568.0
1379,G,G,70.0,156863.0,G,1063.0
1380,R,R,71.0,156863.0,R,1440.0
1381,G,G,72.0,156863.0,G,1287.0
1382,B,B,73.0,156863.0,B,1959.0
1383,R,R,74.0,156863.0,R,1776.0
1384,G,G,75.0,156863.0,G,1751.0
1385,R,R,76.0,156863.0,R,2319.0
1386,Y,Y,77.0,156863.0,Y,1800.0
1387,G,G,78.0,156863.0,G,1983.0
1388,Y,Y,79.0,156863.0,Y,2112.0
1389,G,G,80.0,156863.0,G,2072.0
1390,Y,Y,81.0,156863.0,Y,2231.0
1391,G,G,82.0,156863.0,G,1791.0
1392,Y,Y,83.0,156863.0,Y,1287.0
1393,R,R,84.0,156863.0,R,1800.0
1394,B,B,85.0,156863.0,B,1255.0
1395,G,G,86.0,156863.0,G,1591.0
1396,R,R,87.0,156863.0,R,3303.0
1397,Y,Y,88.0,156863.0,Y,2512.0
1398,G,G,89.0,156863.0,G,1848.0
1399,B,B,90.0,156863.0,B,2048.0
1400,G,G,1.0,156864.0,Y,3844.0
1401,R,R,2.0,156864.0,B,3992.0
1402,G,G,3.0,156864.0,R,1616.0
1403,B,B,4.0,156864.0,Y,1408.0
1404,R,G,5.0,156864.0,R,2304.0
1405,R,R,6.0,156864.0,B,2496.0
1406,Y,Y,7.0,156864.0,R,2624.0
1407,G,G,8.0,156864.0,B,2464.0
1408,Y,B,9.0,156864.0,Y,3200.0
1409,B,B,11.0,156864.0,Y,1816.0
1410,R,R,12.0,156864.0,B,2224.0
1411,G,Y,13.0,156864.0,G,1968.0
1412,B,B,14.0,156864.0,Y,2976.0
1413,R,R,15.0,156864.0,B,2320.0
1414,G,G,16.0,156864.0,Y,2120.0
1415,Y,Y,17.0,156864.0,B,2632.0
1416,R,R,18.0,156864.0,G,2592.0
1417,G,G,19.0,156864.0,R,1943.0
1418,Y,Y,20.0,156864.0,G,1935.0
1419,R,R,21.0,156864.0,B,2472.0
1420,B,B,22.0,156864.0,R,1832.0
1421,R,R,23.0,156864.0,B,1695.0
1422,B,B,24.0,156864.0,Y,3319.0
1423,Y,Y,25.0,156864.0,G,3839.0
1424,R,R,26.0,156864.0,B,2087.0
1425,B,B,27.0,156864.0,G,2200.0
1426,G,G,28.0,156864.0,Y,1615.0
1427,Y,Y,29.0,156864.0,B,2031.0
1428,B,B,30.0,156864.0,G,1599.0
1429,G,G,31.0,156864.0,R,1329.0
1430,B,B,32.0,156864.0,Y,1295.0
1431,R,R,33.0,156864.0,G,1240.0
1432,Y,Y,34.0,156864.0,R,1943.0
1433,G,G,35.0,156864.0,Y,2944.0
1434,R,R,36.0,156864.0,B,1952.0
1435,G,G,37.0,156864.0,R,2984.0
1436,R,R,38.0,156864.0,B,1631.0
1437,G,G,39.0,156864.0,Y,2640.0
1438,Y,Y,40.0,156864.0,G,2240.0
1439,G,G,41.0,156864.0,Y,1848.0
1440,B,B,42.0,156864.0,R,2464.0
1441,G,G,43.0,156864.0,Y,4208.0
1442,R,R,44.0,156864.0,G,1624.0
1443,G,G,45.0,156864.0,R,1792.0
1444,Y,Y,46.0,156864.0,Y,2149.0
1445,G,G,47.0,156864.0,G,1712.0
1446,B,B,48.0,156864.0,B,1583.0
1447,Y,Y,49.0,156864.0,Y,1505.0
1448,B,B,50.0,156864.0,B,1415.0
1449,R,R,51.0,156864.0,R,1128.0
1450,G,G,52.0,156864.0,G,1048.0
1451,B,B,53.0,156864.0,B,1232.0
1452,G,G,54.0,156864.0,G,1175.0
1453,Y,Y,55.0,156864.0,Y,1089.0
1454,R,R,56.0,156864.0,R,1000.0
1455,Y,Y,57.0,156864.0,Y,959.0
1456,G,G,58.0,156864.0,G,1096.0
1457,R,R,59.0,156864.0,R,984.0
1458,G,G,60.0,156864.0,G,983.0
1459,Y,Y,61.0,156864.0,Y,1232.0
1460,B,B,62.0,156864.0,B,1368.0
1461,Y,Y,63.0,156864.0,Y,1704.0
1462,B,B,64.0,156864.0,B,968.0
1463,G,G,65.0,156864.0,G,1056.0
1464,Y,Y,66.0,156864.0,Y,960.0
1465,B,B,67.0,156864.0,B,1072.0
1466,Y,Y,68.0,156864.0,Y,984.0
1467,B,B,69.0,156864.0,B,1584.0
1468,G,G,70.0,156864.0,G,536.0
1469,B,B,71.0,156864.0,B,1184.0
1470,R,R,72.0,156864.0,R,576.0
1471,B,B,73.0,156864.0,B,848.0
1472,G,G,74.0,156864.0,G,1168.0
1473,R,R,75.0,156864.0,R,872.0
1474,Y,Y,76.0,156864.0,Y,928.0
1475,B,B,77.0,156864.0,B,1208.0
1476,Y,Y,78.0,156864.0,Y,992.0
1477,B,B,79.0,156864.0,B,1280.0
1478,Y,Y,80.0,156864.0,Y,1160.0
1479,B,B,81.0,156864.0,B,1039.0
1480,G,G,82.0,156864.0,G,976.0
1481,B,B,83.0,156864.0,B,1256.0
1482,G,G,84.0,156864.0,G,728.0
1483,Y,Y,85.0,156864.0,Y,1008.0
1484,R,R,86.0,156864.0,R,440.0
1485,Y,Y,87.0,156864.0,Y,960.0
1486,R,R,88.0,156864.0,R,807.0
1487,G,G,89.0,156864.0,G,1120.0
1488,Y,Y,90.0,156864.0,Y,1008.0
1489,G,G,1.0,156865.0,Y,3844.0
1490,R,R,2.0,156865.0,B,3992.0
1491,G,G,3.0,156865.0,R,1616.0
1492,B,B,4.0,156865.0,Y,1408.0
1493,R,G,5.0,156865.0,R,2304.0
1494,R,R,6.0,156865.0,B,2496.0
1495,Y,Y,7.0,156865.0,R,2624.0
1496,G,G,8.0,156865.0,B,2464.0
1497,Y,B,9.0,156865.0,Y,3200.0
1498,B,B,11.0,156865.0,Y,1816.0
1499,R,R,12.0,156865.0,B,2224.0
1500,G,Y,13.0,156865.0,G,1968.0
1501,B,B,14.0,156865.0,Y,2976.0
1502,R,R,15.0,156865.0,B,2320.0
1503,G,G,16.0,156865.0,Y,2120.0
1504,Y,Y,17.0,156865.0,B,2632.0
1505,R,R,18.0,156865.0,G,2592.0
1506,G,G,19.0,156865.0,R,1943.0
1507,Y,Y,20.0,156865.0,G,1935.0
1508,R,R,21.0,156865.0,B,2472.0
1509,B,B,22.0,156865.0,R,1832.0
1510,R,R,23.0,156865.0,B,1695.0
1511,B,B,24.0,156865.0,Y,3319.0
1512,Y,Y,25.0,156865.0,G,3839.0
1513,R,R,26.0,156865.0,B,2087.0
1514,B,B,27.0,156865.0,G,2200.0
1515,G,G,28.0,156865.0,Y,1615.0
1516,Y,Y,29.0,156865.0,B,2031.0
1517,B,B,30.0,156865.0,G,1599.0
1518,G,G,31.0,156865.0,R,1329.0
1519,B,B,32.0,156865.0,Y,1295.0
1520,R,R,33.0,156865.0,G,1240.0
1521,Y,Y,34.0,156865.0,R,1943.0
1522,G,G,35.0,156865.0,Y,2944.0
1523,R,R,36.0,156865.0,B,1952.0
1524,G,G,37.0,156865.0,R,2984.0
1525,R,R,38.0,156865.0,B,1631.0
1526,G,G,39.0,156865.0,Y,2640.0
1527,Y,Y,40.0,156865.0,G,2240.0
1528,G,G,41.0,156865.0,Y,1848.0
1529,B,B,42.0,156865.0,R,2464.0
1530,G,G,43.0,156865.0,Y,4208.0
1531,R,R,44.0,156865.0,G,1624.0
1532,G,G,45.0,156865.0,R,1792.0
1533,Y,Y,46.0,156865.0,Y,2149.0
1534,G,G,47.0,156865.0,G,1712.0
1535,B,B,48.0,156865.0,B,1583.0
1536,Y,Y,49.0,156865.0,Y,1505.0
1537,B,B,50.0,156865.0,B,1415.0
1538,R,R,51.0,156865.0,R,1128.0
1539,G,G,52.0,156865.0,G,1048.0
1540,B,B,53.0,156865.0,B,1232.0
1541,G,G,54.0,156865.0,G,1175.0
1542,Y,Y,55.0,156865.0,Y,1089.0
1543,R,R,56.0,156865.0,R,1000.0
1544,Y,Y,57.0,156865.0,Y,959.0
1545,G,G,58.0,156865.0,G,1096.0
1546,R,R,59.0,156865.0,R,984.0
1547,G,G,60.0,156865.0,G,983.0
1548,Y,Y,61.0,156865.0,Y,1232.0
1549,B,B,62.0,156865.0,B,1368.0
1550,Y,Y,63.0,156865.0,Y,1704.0
1551,B,B,64.0,156865.0,B,968.0
1552,G,G,65.0,156865.0,G,1056.0
1553,Y,Y,66.0,156865.0,Y,960.0
1554,B,B,67.0,156865.0,B,1072.0
1555,Y,Y,68.0,156865.0,Y,984.0
1556,B,B,69.0,156865.0,B,1584.0
1557,G,G,70.0,156865.0,G,536.0
1558,B,B,71.0,156865.0,B,1184.0
1559,R,R,72.0,156865.0,R,576.0
1560,B,B,73.0,156865.0,B,848.0
1561,G,G,74.0,156865.0,G,1168.0
1562,R,R,75.0,156865.0,R,872.0
1563,Y,Y,76.0,156865.0,Y,928.0
1564,B,B,77.0,156865.0,B,1208.0
1565,Y,Y,78.0,156865.0,Y,992.0
1566,B,B,79.0,156865.0,B,1280.0
1567,Y,Y,80.0,156865.0,Y,1160.0
1568,B,B,81.0,156865.0,B,1039.0
1569,G,G,82.0,156865.0,G,976.0
1570,B,B,83.0,156865.0,B,1256.0
1571,G,G,84.0,156865.0,G,728.0
1572,Y,Y,85.0,156865.0,Y,1008.0
1573,R,R,86.0,156865.0,R,440.0
1574,Y,Y,87.0,156865.0,Y,960.0
1575,R,R,88.0,156865.0,R,807.0
1576,G,G,89.0,156865.0,G,1120.0
1577,Y,Y,90.0,156865.0,Y,1008.0
1578,G,G,1.0,156866.0,Y,3844.0
1579,R,R,2.0,156866.0,B,3992.0
1580,G,G,3.0,156866.0,R,1616.0
1581,B,B,4.0,156866.0,Y,1408.0
1582,R,G,5.0,156866.0,R,2304.0
1583,R,R,6.0,156866.0,B,2496.0
1584,Y,Y,7.0,156866.0,R,2624.0
1585,G,G,8.0,156866.0,B,2464.0
1586,Y,B,9.0,156866.0,Y,3200.0
1587,B,B,11.0,156866.0,Y,1816.0
1588,R,R,12.0,156866.0,B,2224.0
1589,G,Y,13.0,156866.0,G,1968.0
1590,B,B,14.0,156866.0,Y,2976.0
1591,R,R,15.0,156866.0,B,2320.0
1592,G,G,16.0,156866.0,Y,2120.0
1593,Y,Y,17.0,156866.0,B,2632.0
1594,R,R,18.0,156866.0,G,2592.0
1595,G,G,19.0,156866.0,R,1943.0
1596,Y,Y,20.0,156866.0,G,1935.0
1597,R,R,21.0,156866.0,B,2472.0
1598,B,B,22.0,156866.0,R,1832.0
1599,R,R,23.0,156866.0,B,1695.0
1600,B,B,24.0,156866.0,Y,3319.0
1601,Y,Y,25.0,156866.0,G,3839.0
1602,R,R,26.0,156866.0,B,2087.0
1603,B,B,27.0,156866.0,G,2200.0
1604,G,G,28.0,156866.0,Y,1615.0
1605,Y,Y,29.0,156866.0,B,2031.0
1606,B,B,30.0,156866.0,G,1599.0
1607,G,G,31.0,156866.0,R,1329.0
1608,B,B,32.0,156866.0,Y,1295.0
1609,R,R,33.0,156866.0,G,1240.0
1610,Y,Y,34.0,156866.0,R,1943.0
1611,G,G,35.0,156866.0,Y,2944.0
1612,R,R,36.0,156866.0,B,1952.0
1613,G,G,37.0,156866.0,R,2984.0
1614,R,R,38.0,156866.0,B,1631.0
1615,G,G,39.0,156866.0,Y,2640.0
1616,Y,Y,40.0,156866.0,G,2240.0
1617,G,G,41.0,156866.0,Y,1848.0
1618,B,B,42.0,156866.0,R,2464.0
1619,G,G,43.0,156866.0,Y,4208.0
1620,R,R,44.0,156866.0,G,1624.0
1621,G,G,45.0,156866.0,R,1792.0
1622,Y,Y,46.0,156866.0,Y,2149.0
1623,G,G,47.0,156866.0,G,1712.0
1624,B,B,48.0,156866.0,B,1583.0
1625,Y,Y,49.0,156866.0,Y,1505.0
1626,B,B,50.0,156866.0,B,1415.0
1627,R,R,51.0,156866.0,R,1128.0
1628,G,G,52.0,156866.0,G,1048.0
1629,B,B,53.0,156866.0,B,1232.0
1630,G,G,54.0,156866.0,G,1175.0
1631,Y,Y,55.0,156866.0,Y,1089.0
1632,R,R,56.0,156866.0,R,1000.0
1633,Y,Y,57.0,156866.0,Y,959.0
1634,G,G,58.0,156866.0,G,1096.0
1635,R,R,59.0,156866.0,R,984.0
1636,G,G,60.0,156866.0,G,983.0
1637,Y,Y,61.0,156866.0,Y,1232.0
1638,B,B,62.0,156866.0,B,1368.0
1639,Y,Y,63.0,156866.0,Y,1704.0
1640,B,B,64.0,156866.0,B,968.0
1641,G,G,65.0,156866.0,G,1056.0
1642,Y,Y,66.0,156866.0,Y,960.0
1643,B,B,67.0,156866.0,B,1072.0
1644,Y,Y,68.0,156866.0,Y,984.0
1645,B,B,69.0,156866.0,B,1584.0
1646,G,G,70.0,156866.0,G,536.0
1647,B,B,71.0,156866.0,B,1184.0
1648,R,R,72.0,156866.0,R,576.0
1649,B,B,73.0,156866.0,B,848.0
1650,G,G,74.0,156866.0,G,1168.0
1651,R,R,75.0,156866.0,R,872.0
1652,Y,Y,76.0,156866.0,Y,928.0
1653,B,B,77.0,156866.0,B,1208.0
1654,Y,Y,78.0,156866.0,Y,992.0
1655,B,B,79.0,156866.0,B,1280.0
1656,Y,Y,80.0,156866.0,Y,1160.0
1657,B,B,81.0,156866.0,B,1039.0
1658,G,G,82.0,156866.0,G,976.0
1659,B,B,83.0,156866.0,B,1256.0
1660,G,G,84.0,156866.0,G,728.0
1661,Y,Y,85.0,156866.0,Y,1008.0
1662,R,R,86.0,156866.0,R,440.0
1663,Y,Y,87.0,156866.0,Y,960.0
1664,R,R,88.0,156866.0,R,807.0
1665,G,G,89.0,156866.0,G,1120.0
1666,Y,Y,90.0,156866.0,Y,1008.0
1667,G,G,1.0,156867.0,Y,3844.0
1668,R,R,2.0,156867.0,B,3992.0
1669,G,G,3.0,156867.0,R,1616.0
1670,B,B,4.0,156867.0,Y,1408.0
1671,R,G,5.0,156867.0,R,2304.0
1672,R,R,6.0,156867.0,B,2496.0
1673,Y,Y,7.0,156867.0,R,2624.0
1674,G,G,8.0,156867.0,B,2464.0
1675,Y,B,9.0,156867.0,Y,3200.0
1676,B,B,11.0,156867.0,Y,1816.0
1677,R,R,12.0,156867.0,B,2224.0
1678,G,Y,13.0,156867.0,G,1968.0
1679,B,B,14.0,156867.0,Y,2976.0
1680,R,R,15.0,156867.0,B,2320.0
1681,G,G,16.0,156867.0,Y,2120.0
1682,Y,Y,17.0,156867.0,B,2632.0
1683,R,R,18.0,156867.0,G,2592.0
1684,G,G,19.0,156867.0,R,1943.0
1685,Y,Y,20.0,156867.0,G,1935.0
1686,R,R,21.0,156867.0,B,2472.0
1687,B,B,22.0,156867.0,R,1832.0
1688,R,R,23.0,156867.0,B,1695.0
1689,B,B,24.0,156867.0,Y,3319.0
1690,Y,Y,25.0,156867.0,G,3839.0
1691,R,R,26.0,156867.0,B,2087.0
1692,B,B,27.0,156867.0,G,2200.0
1693,G,G,28.0,156867.0,Y,1615.0
1694,Y,Y,29.0,156867.0,B,2031.0
1695,B,B,30.0,156867.0,G,1599.0
1696,G,G,31.0,156867.0,R,1329.0
1697,B,B,32.0,156867.0,Y,1295.0
1698,R,R,33.0,156867.0,G,1240.0
1699,Y,Y,34.0,156867.0,R,1943.0
1700,G,G,35.0,156867.0,Y,2944.0
1701,R,R,36.0,156867.0,B,1952.0
1702,G,G,37.0,156867.0,R,2984.0
1703,R,R,38.0,156867.0,B,1631.0
1704,G,G,39.0,156867.0,Y,2640.0
1705,Y,Y,40.0,156867.0,G,2240.0
1706,G,G,41.0,156867.0,Y,1848.0
1707,B,B,42.0,156867.0,R,2464.0
1708,G,G,43.0,156867.0,Y,4208.0
1709,R,R,44.0,156867.0,G,1624.0
1710,G,G,45.0,156867.0,R,1792.0
1711,Y,Y,46.0,156867.0,Y,2149.0
1712,G,G,47.0,156867.0,G,1712.0
1713,B,B,48.0,156867.0,B,1583.0
1714,Y,Y,49.0,156867.0,Y,1505.0
1715,B,B,50.0,156867.0,B,1415.0
1716,R,R,51.0,156867.0,R,1128.0
1717,G,G,52.0,156867.0,G,1048.0
1718,B,B,53.0,156867.0,B,1232.0
1719,G,G,54.0,156867.0,G,1175.0
1720,Y,Y,55.0,156867.0,Y,1089.0
1721,R,R,56.0,156867.0,R,1000.0
1722,Y,Y,57.0,156867.0,Y,959.0
1723,G,G,58.0,156867.0,G,1096.0
1724,R,R,59.0,156867.0,R,984.0
1725,G,G,60.0,156867.0,G,983.0
1726,Y,Y,61.0,156867.0,Y,1232.0
1727,B,B,62.0,156867.0,B,1368.0
1728,Y,Y,63.0,156867.0,Y,1704.0
1729,B,B,64.0,156867.0,B,968.0
1730,G,G,65.0,156867.0,G,1056.0
1731,Y,Y,66.0,156867.0,Y,960.0
1732,B,B,67.0,156867.0,B,1072.0
1733,Y,Y,68.0,156867.0,Y,984.0
1734,B,B,69.0,156867.0,B,1584.0
1735,G,G,70.0,156867.0,G,536.0
1736,B,B,71.0,156867.0,B,1184.0
1737,R,R,72.0,156867.0,R,576.0
1738,B,B,73.0,156867.0,B,848.0
1739,G,G,74.0,156867.0,G,1168.0
1740,R,R,75.0,156867.0,R,872.0
1741,Y,Y,76.0,156867.0,Y,928.0
1742,B,B,77.0,156867.0,B,1208.0
1743,Y,Y,78.0,156867.0,Y,992.0
1744,B,B,79.0,156867.0,B,1280.0
1745,Y,Y,80.0,156867.0,Y,1160.0
1746,B,B,81.0,156867.0,B,1039.0
1747,G,G,82.0,156867.0,G,976.0
1748,B,B,83.0,156867.0,B,1256.0
1749,G,G,84.0,156867.0,G,728.0
1750,Y,Y,85.0,156867.0,Y,1008.0
1751,R,R,86.0,156867.0,R,440.0
1752,Y,Y,87.0,156867.0,Y,960.0
1753,R,R,88.0,156867.0,R,807.0
1754,G,G,89.0,156867.0,G,1120.0
1755,Y,Y,90.0,156867.0,Y,1008.0
1756,B,B,1.0,156868.0,G,2738.0
1757,Y,Y,2.0,156868.0,R,2664.0
1758,R,R,3.0,156868.0,Y,2135.0
1759,B,B,4.0,156868.0,R,2232.0
1760,Y,Y,5.0,156868.0,G,2528.0
1761,B,B,6.0,156868.0,R,1848.0
1762,G,G,7.0,156868.0,B,1872.0
1763,Y,Y,8.0,156868.0,R,1687.0
1764,G,G,9.0,156868.0,Y,2063.0
1765,Y,Y,10.0,156868.0,R,2264.0
1766,B,B,11.0,156868.0,G,1592.0
1767,G,G,12.0,156868.0,R,2600.0
1768,Y,Y,13.0,156868.0,G,1575.0
1769,B,B,14.0,156868.0,R,1560.0
1770,R,R,15.0,156868.0,Y,1927.0
1771,B,B,16.0,156868.0,R,2544.0
1772,R,R,17.0,156868.0,G,4552.0
1773,G,G,18.0,156868.0,Y,1520.0
1774,Y,Y,19.0,156868.0,R,1752.0
1775,G,G,20.0,156868.0,B,2592.0
1776,Y,Y,21.0,156868.0,G,1848.0
1777,G,G,22.0,156868.0,Y,1359.0
1778,R,R,23.0,156868.0,B,1632.0
1779,B,B,24.0,156868.0,G,984.0
1780,R,R,25.0,156868.0,Y,1639.0
1781,Y,Y,26.0,156868.0,B,2000.0
1782,B,B,27.0,156868.0,G,2712.0
1783,G,G,28.0,156868.0,Y,1952.0
1784,B,B,29.0,156868.0,R,3832.0
1785,R,R,30.0,156868.0,G,1656.0
1786,G,G,31.0,156868.0,Y,1520.0
1787,Y,Y,32.0,156868.0,B,1488.0
1788,B,B,33.0,156868.0,R,1840.0
1789,Y,Y,34.0,156868.0,B,1536.0
1790,R,R,35.0,156868.0,G,1456.0
1791,Y,Y,36.0,156868.0,B,1792.0
1792,G,G,37.0,156868.0,R,1864.0
1793,Y,Y,38.0,156868.0,B,1752.0
1794,B,B,39.0,156868.0,G,1376.0
1795,R,R,40.0,156868.0,B,1858.0
1796,B,B,41.0,156868.0,Y,1589.0
1797,Y,Y,42.0,156868.0,R,1600.0
1798,B,B,43.0,156868.0,G,1456.0
1799,Y,Y,44.0,156868.0,B,1592.0
1800,G,G,45.0,156868.0,R,1512.0
1801,G,G,46.0,156868.0,G,2437.0
1802,R,R,47.0,156868.0,R,1496.0
1803,G,G,48.0,156868.0,G,1632.0
1804,R,R,49.0,156868.0,R,2264.0
1805,Y,Y,50.0,156868.0,Y,1648.0
1806,G,G,51.0,156868.0,G,1240.0
1807,R,R,52.0,156868.0,R,1888.0
1808,Y,Y,53.0,156868.0,Y,1976.0
1809,R,R,54.0,156868.0,R,1720.0
1810,G,G,55.0,156868.0,G,1392.0
1811,B,B,56.0,156868.0,B,1120.0
1812,Y,Y,57.0,156868.0,Y,1128.0
1813,G,G,58.0,156868.0,G,1192.0
1814,R,R,59.0,156868.0,R,1736.0
1815,G,G,60.0,156868.0,G,1000.0
1816,B,B,61.0,156868.0,B,1064.0
1817,G,G,62.0,156868.0,G,896.0
1818,B,B,63.0,156868.0,B,792.0
1819,Y,Y,64.0,156868.0,Y,1336.0
1820,B,B,65.0,156868.0,B,1048.0
1821,G,G,66.0,156868.0,G,856.0
1822,Y,Y,67.0,156868.0,Y,1184.0
1823,R,R,68.0,156868.0,R,1864.0
1824,Y,Y,69.0,156868.0,Y,1752.0
1825,R,R,70.0,156868.0,R,1568.0
1826,B,B,71.0,156868.0,B,1048.0
1827,R,R,72.0,156868.0,R,1280.0
1828,G,G,73.0,156868.0,G,1176.0
1829,B,B,74.0,156868.0,B,1112.0
1830,R,R,75.0,156868.0,R,1384.0
1831,B,B,76.0,156868.0,B,1264.0
1832,G,G,77.0,156868.0,G,1136.0
1833,R,R,78.0,156868.0,R,1096.0
1834,G,G,79.0,156868.0,G,776.0
1835,B,B,80.0,156868.0,B,1192.0
1836,G,G,81.0,156868.0,G,896.0
1837,R,R,82.0,156868.0,R,1352.0
1838,Y,Y,83.0,156868.0,Y,1728.0
1839,G,G,84.0,156868.0,G,1160.0
1840,B,B,85.0,156868.0,B,920.0
1841,Y,Y,86.0,156868.0,Y,1432.0
1842,G,G,87.0,156868.0,G,1296.0
1843,R,R,88.0,156868.0,R,2168.0
1844,G,G,89.0,156868.0,G,2144.0
1845,Y,Y,90.0,156868.0,Y,1600.0
1846,G,G,1.0,156869.0,Y,3844.0
1847,R,R,2.0,156869.0,B,3992.0
1848,G,G,3.0,156869.0,R,1616.0
1849,B,B,4.0,156869.0,Y,1408.0
1850,R,G,5.0,156869.0,R,2304.0
1851,R,R,6.0,156869.0,B,2496.0
1852,Y,Y,7.0,156869.0,R,2624.0
1853,G,G,8.0,156869.0,B,2464.0
1854,Y,B,9.0,156869.0,Y,3200.0
1855,B,B,11.0,156869.0,Y,1816.0
1856,R,R,12.0,156869.0,B,2224.0
1857,G,Y,13.0,156869.0,G,1968.0
1858,B,B,14.0,156869.0,Y,2976.0
1859,R,R,15.0,156869.0,B,2320.0
1860,G,G,16.0,156869.0,Y,2120.0
1861,Y,Y,17.0,156869.0,B,2632.0
1862,R,R,18.0,156869.0,G,2592.0
1863,G,G,19.0,156869.0,R,1943.0
1864,Y,Y,20.0,156869.0,G,1935.0
1865,R,R,21.0,156869.0,B,2472.0
1866,B,B,22.0,156869.0,R,1832.0
1867,R,R,23.0,156869.0,B,1695.0
1868,B,B,24.0,156869.0,Y,3319.0
1869,Y,Y,25.0,156869.0,G,3839.0
1870,R,R,26.0,156869.0,B,2087.0
1871,B,B,27.0,156869.0,G,2200.0
1872,G,G,28.0,156869.0,Y,1615.0
1873,Y,Y,29.0,156869.0,B,2031.0
1874,B,B,30.0,156869.0,G,1599.0
1875,G,G,31.0,156869.0,R,1329.0
1876,B,B,32.0,156869.0,Y,1295.0
1877,R,R,33.0,156869.0,G,1240.0
1878,Y,Y,34.0,156869.0,R,1943.0
1879,G,G,35.0,156869.0,Y,2944.0
1880,R,R,36.0,156869.0,B,1952.0
1881,G,G,37.0,156869.0,R,2984.0
1882,R,R,38.0,156869.0,B,1631.0
1883,G,G,39.0,156869.0,Y,2640.0
1884,Y,Y,40.0,156869.0,G,2240.0
1885,G,G,41.0,156869.0,Y,1848.0
1886,B,B,42.0,156869.0,R,2464.0
1887,G,G,43.0,156869.0,Y,4208.0
1888,R,R,44.0,156869.0,G,1624.0
1889,G,G,45.0,156869.0,R,1792.0
1890,Y,Y,46.0,156869.0,Y,2149.0
1891,G,G,47.0,156869.0,G,1712.0
1892,B,B,48.0,156869.0,B,1583.0
1893,Y,Y,49.0,156869.0,Y,1505.0
1894,B,B,50.0,156869.0,B,1415.0
1895,R,R,51.0,156869.0,R,1128.0
1896,G,G,52.0,156869.0,G,1048.0
1897,B,B,53.0,156869.0,B,1232.0
1898,G,G,54.0,156869.0,G,1175.0
1899,Y,Y,55.0,156869.0,Y,1089.0
1900,R,R,56.0,156869.0,R,1000.0
1901,Y,Y,57.0,156869.0,Y,959.0
1902,G,G,58.0,156869.0,G,1096.0
1903,R,R,59.0,156869.0,R,984.0
1904,G,G,60.0,156869.0,G,983.0
1905,Y,Y,61.0,156869.0,Y,1232.0
1906,B,B,62.0,156869.0,B,1368.0
1907,Y,Y,63.0,156869.0,Y,1704.0
1908,B,B,64.0,156869.0,B,968.0
1909,G,G,65.0,156869.0,G,1056.0
1910,Y,Y,66.0,156869.0,Y,960.0
1911,B,B,67.0,156869.0,B,1072.0
1912,Y,Y,68.0,156869.0,Y,984.0
1913,B,B,69.0,156869.0,B,1584.0
1914,G,G,70.0,156869.0,G,536.0
1915,B,B,71.0,156869.0,B,1184.0
1916,R,R,72.0,156869.0,R,576.0
1917,B,B,73.0,156869.0,B,848.0
1918,G,G,74.0,156869.0,G,1168.0
1919,R,R,75.0,156869.0,R,872.0
1920,Y,Y,76.0,156869.0,Y,928.0
1921,B,B,77.0,156869.0,B,1208.0
